Country,Popularity,Title,Artist,Release_date,danceability,energy,tempo,release_date,year,month
USA,728.9,ill wait,Kygo - Sasha Sloan,2020-04-03,0.611,0.6509999999999999,122.983,2020-04-03,2020,4
USA,508.65,woodlawn,Aminé,2020-08-07,0.784,0.586,113.973,2020-08-07,2020,8
USA,43.2,daisies,Katy Perry,2020-08-28,0.642,0.546,122.165,2020-08-28,2020,8
USA,1032.75,from florida with love,Drake,2020-05-01,0.787,0.477,80.506,2020-05-01,2020,5
USA,918.75,over your head,Future - Lil Uzi Vert,2020-07-31,0.773,0.742,148.94899999999996,2020-07-31,2020,7
USA,2040.65,the adventures of moon man & slim shady,Kid Cudi - Eminem,2020-07-10,0.88,0.787,113.018,2020-07-10,2020,7
USA,67.2,dynamite - instrumental,BTS,2020-08-21,0.861,0.6579999999999999,114,2020-08-21,2020,8
USA,31269.8,after party,Don Toliver,2020-03-13,0.629,0.6920000000000001,162.94799999999995,2020-03-13,2020,3
USA,531.6999999999998,louder than bombs,BTS,2020-02-21,0.643,0.667,145.999,2020-02-21,2020,2
USA,9834.55,tap in,Saweetie,2020-06-17,0.954,0.696,100.036,2020-06-17,2020,6
USA,2444.250000000001,mamacita,Black Eyed Peas - Ozuna - J. Rey Soul,2020-06-18,0.88,0.626,105.01,2020-06-18,2020,6
USA,131.35,taco tuesday,Migos,2020-05-05,0.945,0.65,129.007,2020-05-05,2020,5
USA,555.65,puesto pa guerrial,Bad Bunny - Myke Towers,2020-02-28,0.867,0.6859999999999999,139.968,2020-02-28,2020,2
USA,1399.6,on,BTS - Sia,2020-02-21,0.591,0.848,105.922,2020-02-21,2020,2
USA,4.800000000000002,never really over,Katy Perry,2020-08-28,0.77,0.8809999999999999,99.995,2020-08-28,2020,8
USA,151.15,yummy - summer walker remix,Justin Bieber - Summer Walker,2020-02-14,0.655,0.578,145.869,2020-02-14,2020,2
USA,5482.050000000001,my tears ricochet,Taylor Swift,2020-07-24,0.456,0.263,129.86,2020-07-24,2020,7
USA,746.75,911,Lady Gaga,2020-05-29,0.789,0.813,116.007,2020-05-29,2020,5
USA,296.2000000000001,is it true,Tame Impala,2020-02-14,0.731,0.664,118.018,2020-02-14,2020,2
USA,8239.599999999999,what a man gotta do,Jonas Brothers,2020-01-17,0.852,0.698,113.039,2020-01-17,2020,1
USA,42698.299999999974,intentions,Justin Bieber - Quavo,2020-02-14,0.8059999999999999,0.546,147.986,2020-02-14,2020,2
USA,101.15,kids again,Sam Smith,2020-10-30,0.6659999999999999,0.726,128.04399999999998,2020-10-30,2020,10
USA,203,loyal,PARTYNEXTDOOR - Drake,2020-03-26,0.866,0.53,104.952,2020-03-26,2020,3
USA,1728.7999999999995,cardigan,Don Toliver,2020-03-13,0.747,0.4970000000000001,142.046,2020-03-13,2020,3
USA,3795.4,man of the year,Juice WRLD,2020-07-10,0.621,0.695,173.96599999999995,2020-07-10,2020,7
USA,3995.200000000001,forever after all,Luke Combs,2020-10-23,0.487,0.65,151.964,2020-10-23,2020,10
USA,48,physical,Dua Lipa - Hwa Sa,2020-01-28,0.6609999999999999,0.873,146.94299999999996,2020-01-28,2020,1
USA,56.8,caramelo,Ozuna,2020-06-11,0.728,0.8059999999999999,168.084,2020-06-11,2020,6
USA,3333.950000000001,la santa,Bad Bunny - Daddy Yankee,2020-02-28,0.7440000000000001,0.868,93.037,2020-02-28,2020,2
USA,117.8,tattoos together,Lauv,2020-01-16,0.862,0.4,122.963,2020-01-16,2020,1
USA,1306.7,b.i.t.c.h.,Megan Thee Stallion,2020-01-24,0.742,0.731,174.019,2020-01-24,2020,1
USA,8110.85,say so,Doja Cat - Nicki Minaj,2020-05-01,0.856,0.6409999999999999,111.004,2020-05-01,2020,5
USA,52.8,people,Agust D,2020-05-22,0.76,0.682,120.008,2020-05-22,2020,5
USA,1351.5,narcos,Anuel AA,2020-05-29,0.614,0.746,168.072,2020-05-29,2020,5
USA,28,gris,J Balvin,2020-03-19,0.8490000000000001,0.7090000000000001,93.06,2020-03-19,2020,3
USA,491.5,dear april,Frank Ocean,2020-04-03,0.444,0.152,115.95,2020-04-03,2020,4
USA,1266.6,anyone,Demi Lovato,2020-01-27,0.557,0.387,129.98,2020-01-27,2020,1
USA,743.6,come this way,Lil Uzi Vert,2020-03-13,0.682,0.741,164.043,2020-03-13,2020,3
